# t,tx,ty,tz,rx,ry,rz
1.763579369821397305e+09,-6.904319057327953923e-02,-6.647612648819239967e-02,8.355302100821070388e-01,2.286218449349673332e+00,-1.868436688038047633e+00,-1.747590276401013443e-01
1.763579369871046066e+09,-5.687926578147087242e-02,-6.712395330271746230e-02,8.300950418224252170e-01,2.281197086201959490e+00,-1.851127264770205949e+00,-1.920264091567149001e-01
1.763579369921058416e+09,-4.419292099373564597e-02,-7.017728779033981235e-02,8.248708172070607914e-01,2.274452108823303842e+00,-1.832235183160827674e+00,-2.053154181528356881e-01
1.763579369971235037e+09,-3.347328614698980020e-02,-7.653411512310574760e-02,8.203586642052569378e-01,2.263136064734479813e+00,-1.818736604675145196e+00,-2.244295036646029862e-01
1.763579370021783113e+09,-2.433190975748116686e-02,-8.314025877956018884e-02,8.173727536096681012e-01,2.250445702150359217e+00,-1.808221481966124866e+00,-2.482990319195442774e-01
1.763579370071857452e+09,-1.696540144177218976e-02,-8.911371652688582223e-02,8.153965933795181975e-01,2.236054655030134786e+00,-1.796904806566908208e+00,-2.740960235434907744e-01
1.763579370121532679e+09,-1.074308716854085327e-02,-9.511410445337227515e-02,8.142782830567788510e-01,2.220727741560232449e+00,-1.785447072224831899e+00,-3.039452659801049061e-01
1.763579370171114206e+09,-4.539712023863971130e-03,-1.030247422619131742e-01,8.127921692755596395e-01,2.204540027039477046e+00,-1.775952372714097116e+00,-3.354845540848805929e-01
1.763579370221231222e+09,6.101588449532448395e-03,-1.143418840834194983e-01,8.100179728626077935e-01,2.193867712925029689e+00,-1.761680511403483917e+00,-3.647326525141075804e-01
1.763579370271299601e+09,6.514004969195999820e-03,-1.250070585688998204e-01,8.017548317567573246e-01,2.185225095348227509e+00,-1.739259910723663705e+00,-3.673602136677614483e-01
1.763579370321427345e+09,8.848982759444838642e-03,-1.387253347359334033e-01,7.921936484831453296e-01,2.183969952103070433e+00,-1.717377680451259048e+00,-3.639634514433013890e-01
1.763579370371481419e+09,8.647186288512850177e-03,-1.541044935170327590e-01,7.808205573361481910e-01,2.186087540443121924e+00,-1.701255992987418031e+00,-3.540741470333908514e-01
1.763579370421402931e+09,7.769327415886553845e-03,-1.676539426097056196e-01,7.721557033690779059e-01,2.186917628328842955e+00,-1.692647517414439973e+00,-3.518823844281954716e-01
1.763579370471239328e+09,7.551663882753308077e-03,-1.769217202663002919e-01,7.664821040823507348e-01,2.183574468603219465e+00,-1.688246227489301976e+00,-3.613056572884756901e-01
1.763579370521259308e+09,8.639304127288924620e-03,-1.841303466104336761e-01,7.614333641916495310e-01,2.179004477538790674e+00,-1.679224809166727894e+00,-3.732569188800746174e-01
1.763579370571396589e+09,1.049740035461985653e-02,-1.923094763504621385e-01,7.544388825805486976e-01,2.175757215983419979e+00,-1.668638424178946922e+00,-3.771211986870500743e-01
1.763579370621500254e+09,1.164790497478245326e-02,-2.014719575089604919e-01,7.454265943468332267e-01,2.171425563935605041e+00,-1.663442836515393486e+00,-3.681041441379945822e-01
1.763579370671465635e+09,1.299934337365587361e-02,-2.122104097266649669e-01,7.342182774223232622e-01,2.163856646281700158e+00,-1.664225597721457062e+00,-3.537261159491313367e-01
1.763579370721365929e+09,1.442170690022796103e-02,-2.220370396512104383e-01,7.237196266930204791e-01,2.156961155688902121e+00,-1.668831086563566268e+00,-3.433944396825160950e-01
1.763579370771542072e+09,1.497233859702581070e-02,-2.297619672437835048e-01,7.147420139105212789e-01,2.150791405423151392e+00,-1.673348136107321693e+00,-3.418400220358497887e-01
1.763579370821755409e+09,1.557361689416950079e-02,-2.346925906096826719e-01,7.077135291982569187e-01,2.145730038662793326e+00,-1.671744937281179899e+00,-3.492454173537838380e-01
1.763579370871816874e+09,1.599052868309212144e-02,-2.385289260528649369e-01,7.015691061224001990e-01,2.142804423123907842e+00,-1.662667840154322452e+00,-3.637152167739735042e-01
1.763579370921679258e+09,1.581356865463429476e-02,-2.419648664528263604e-01,6.977924003356303917e-01,2.143954830716630511e+00,-1.652438464150389308e+00,-3.783755086578674542e-01
1.763579370971390724e+09,1.589018765369812694e-02,-2.475524818350420264e-01,6.932933691018451361e-01,2.147867442130916960e+00,-1.642148258097698710e+00,-3.867706855294330559e-01
