# t,tx,ty,tz,rx,ry,rz
1.763579366539592505e+09,1.415231039914722766e-01,-2.837965655159419009e-01,1.437541566889629863e+00,2.140299539309179711e+00,-2.272731373345048045e+00,-5.593861155847341948e-02
1.763579366553281307e+09,1.463089035024158491e-01,-2.722829017529694862e-01,1.434026659935646375e+00,2.145166633532922695e+00,-2.266757173276616744e+00,-5.134338346565512495e-02
1.763579366566970110e+09,1.511366513945059942e-01,-2.578253612016893626e-01,1.430435187357784521e+00,2.149488275682988725e+00,-2.260189559620223942e+00,-4.496528602895954324e-02
1.763579366580659151e+09,1.558228174095596108e-01,-2.396805213666720336e-01,1.426837786557407783e+00,2.153147408058490697e+00,-2.252972033211766867e+00,-3.621592544830400801e-02
1.763579366594347954e+09,1.599451987398795294e-01,-2.169905034895594498e-01,1.423295028258755535e+00,2.155886174579406678e+00,-2.244986622842294111e+00,-2.422939904729475361e-02
1.763579366608036757e+09,1.629491711962464395e-01,-1.888354195149734571e-01,1.419863582892513465e+00,2.157370128600699655e+00,-2.236082909014942999e+00,-7.985956403974021553e-03
1.763579366621725798e+09,1.642769103641080197e-01,-1.542757368901663262e-01,1.416600747927149406e+00,2.157261020431844312e+00,-2.226106681880151594e+00,1.354916562994594280e-02
1.763579366635414600e+09,1.634818958639480402e-01,-1.126622781453114480e-01,1.413542173192763096e+00,2.155304935939085009e+00,-2.214958333740192575e+00,4.114570628406429009e-02
1.763579366649103642e+09,1.603943150760917535e-01,-6.400474511508574826e-02,1.410664885536407898e+00,2.151449982789165549e+00,-2.202657837465832547e+00,7.496444565656242009e-02
1.763579366662792444e+09,1.549409658988104010e-01,-8.591825531760416065e-03,1.407931077543814524e+00,2.145721408984675449e+00,-2.189280840068447809e+00,1.149111381734821830e-01
1.763579366676481247e+09,1.470121444493474316e-01,5.341931485382201555e-02,1.405305527242560304e+00,2.138111660512741707e+00,-2.174874333101024071e+00,1.610108352499663720e-01
1.763579366690170288e+09,1.370827053313537214e-01,1.197360220915292678e-01,1.402720085090335633e+00,2.129146192107551183e+00,-2.159950025052594036e+00,2.113416311522424429e-01
1.763579366703859091e+09,1.262028111096565042e-01,1.859649561086541003e-01,1.400075727603568465e+00,2.119874634840498651e+00,-2.145475370416808580e+00,2.620656305509765915e-01
1.763579366717548132e+09,1.155001580338044648e-01,2.474202589915321937e-01,1.397267630177999154e+00,2.111418977564760269e+00,-2.132484022625463993e+00,3.090797936115758926e-01
1.763579366731236935e+09,1.059667536722537357e-01,3.000331412214221061e-01,1.394209579578217229e+00,2.104759062132743441e+00,-2.121847151601750081e+00,3.488232112621353354e-01
1.763579366744925737e+09,9.797821533449481424e-02,3.426702099867238172e-01,1.390908872544453834e+00,2.100210113447551041e+00,-2.113637582201841170e+00,3.802968592735777031e-01
1.763579366758614779e+09,9.153871711823798052e-02,3.759336559403676503e-01,1.387426127242388008e+00,2.097692246486016376e+00,-2.107464305695691653e+00,4.040195009770220502e-01
1.763579366772303581e+09,8.670752191765437877e-02,4.001904057216696398e-01,1.383816729555674252e+00,2.097180007011411274e+00,-2.102992163167712203e+00,4.203029430832434521e-01
1.763579366785992622e+09,8.342432077686461056e-02,4.162234876178170229e-01,1.380136289822716522e+00,2.098546531678703086e+00,-2.099824075019712133e+00,4.298299028446483372e-01
1.763579366799681425e+09,8.147530813772020652e-02,4.252679069433882852e-01,1.376431590142212835e+00,2.101548268023677224e+00,-2.097535736901479098e+00,4.336912543618295368e-01
1.763579366813370228e+09,8.059369428980416028e-02,4.287404143882481700e-01,1.372749136272988890e+00,2.105897661807943244e+00,-2.095676052453321336e+00,4.331404500514582367e-01
1.763579366827059269e+09,8.053074899765545747e-02,4.279861011165406182e-01,1.369134046778812897e+00,2.111321626568028353e+00,-2.093815306939417642e+00,4.293646687481026958e-01
1.763579366840748072e+09,8.109854527709092764e-02,4.240981030545363795e-01,1.365622028440488744e+00,2.117570873272046406e+00,-2.091670843268931712e+00,4.232908345662982352e-01
1.763579366854437113e+09,8.218793527495536766e-02,4.178404587173981666e-01,1.362236962975664323e+00,2.124435760996719935e+00,-2.089132713690797782e+00,4.155136620396374103e-01
1.763579366868125916e+09,8.368460334278553236e-02,4.100038542385490148e-01,1.359003924411266384e+00,2.131700841679835978e+00,-2.086081332927031795e+00,4.066524814156347589e-01
1.763579366881814718e+09,8.548418831207328650e-02,4.012916432629805574e-01,1.355943206509453436e+00,2.139173230417438898e+00,-2.082427242102368403e+00,3.972516432065846259e-01
1.763579366895503759e+09,8.750611172958230877e-02,3.920744922126326859e-01,1.353055147010513437e+00,2.146757675258572196e+00,-2.078182896993089557e+00,3.875847941155655119e-01
1.763579366909192562e+09,8.968353001650618272e-02,3.825540350499034847e-01,1.350330296080149539e+00,2.154406642784979731e+00,-2.073414733224431039e+00,3.777862320787883643e-01
1.763579366922881603e+09,9.194837524334717460e-02,3.729447428270362686e-01,1.347759897367374338e+00,2.162069684543112658e+00,-2.068184201994486049e+00,3.680013034030930608e-01
1.763579366936570406e+09,9.422629153547945613e-02,3.633993975591274794e-01,1.345325012063281145e+00,2.169719441568357166e+00,-2.062577369025407670e+00,3.583171931829981505e-01
1.763579366950259209e+09,9.642583797230730447e-02,3.539397261511723625e-01,1.342983850347128749e+00,2.177382257676288457e+00,-2.056731865003198045e+00,3.486975716259063107e-01
1.763579366963948250e+09,9.845422811970393207e-02,3.445690416126575006e-01,1.340690573603603886e+00,2.185089959398152537e+00,-2.050792347464950982e+00,3.390869619839805282e-01
1.763579366977637053e+09,1.002183506927495082e-01,3.352902943841569727e-01,1.338399678450079344e+00,2.192874876474258716e+00,-2.044903946811079010e+00,3.294302848361670977e-01
